DC3000	241185	241186	241187	241188	241189	241190	241191	241193	241195	241199	241201	241203	241204	241205	241207	241211	241212	241216	241217	241219	241220	241227	241228	241231	241232	241234	241235	241237	241239	241241	241244	241247	241249	241250	241251	241252	241255	241256	241258	241261	241263	241266	241270	241271	241272	241273	241274	241275	241276	241277	241278	241279	241280	241281	241282	241283	241284	241285	241286	241287	241288	241289	241290	241291	241292	241293	241294	241296	241301	241303	241304	241309	241312	241317	241320	241326	241331	241333	241334	241335	241336	241338	241339	241342	241345	241346	241347	241348	241349	241351	241352	241353	241354	241361	241415	241417	241422	241423	241424	241425	241426	241431	241432	241458	241466	241467	241469	241472	241486	241492	241500	241501	241504	241507	241510	241544	241547	241563	241564	241565	241566	241567	241568	241569	241570	241571	241572	241573	241574	241575	241576	241578	241579	241580	241581	241582	241605	241613	241614	241616	241617	241620	241621	241630	241638
g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1	g1
g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2	g2
g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3	g3
g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4	g4
g5	g44	g44	g44	g36	g9	g9	g26	g44	g36	g44	g43	g44	g44	g44	g44	g43	g43	g36	g36	g36	g9	g44	g39	g9	g26	g33	g36	g44	g14	g44	g43	g43	g43	g44	g44	g44	g9	g44	g44	g26	g44	g36	g43	g43	g43	g43	g43	g43	g43	g43	g43	g43	g43	g5	g43	g43	g43	g36	g43	g43	g43	g43	g43	g43	g43	g43	g36	g43	g43	g39	g43	g44	g44	g44	g44	g9	g44	g44	g43	g44	g44	g44	g9	g43	g43	g43	g43	g9	g44	g43	g44	g43	g36	g23	g36	g8	g44	g44	g36	g9	g44	g9	g44	g44	g44	g43	g9	g36	g14	g44	g44	g44	g9	g44	g44	g44	g44	g43	g43	g43	g36	g43	g43	g43	g43	g36	g43	g43	g43	g43	g43	g43	g43	g43	g43	g36	g44	g9	g64	g44	g44	g44	g9	g9	g43
g6	g64	g48	g64	g41	g43	g38	g27	g64	g41	g48	g44	g64	g64	g64	g64	g44	g44	g41	g41	g41	g43	g64	g44	g35	g27	g34	g41	g64	g26	g48	g44	g44	g44	g48	g64	g64	g43	g64	g64	g27	g48	g41	g44	g44	g44	g44	g44	g44	g44	g44	g44	g44	g44	g6	g44	g44	g44	g41	g44	g44	g44	g44	g44	g44	g44	g44	g41	g44	g44	g44	g44	g64	g64	g64	g64	g44	g64	g64	g44	g48	g64	g64	g44	g44	g44	g44	g44	g44	g48	g44	g64	g44	g41	g66	g37	g9	g64	g48	g41	g44	g64	g44	g48	g64	g64	g44	g38	g41	g26	g64	g64	g48	g36	g64	g64	g64	g64	g44	g44	g44	g41	g44	g44	g44	g44	g41	g44	g44	g44	g44	g44	g44	g44	g44	g44	g41	g64	g43	g66	g64	g64	g64	g35	g15	g44
g7	g66	g64	g66	g44	g44	g44	g28	g66	g43	g64	g64	g66	g66	g66	g66	g64	g64	g44	g43	g43	g44	g66	g64	g43	g28	g35	g44	g66	g27	g64	g48	g48	g48	g64	g66	g66	g44	g66	g66	g28	g64	g43	g64	g64	g64	g48	g64	g64	g64	g64	g64	g64	g64	g7	g64	g64	g48	g44	g48	g64	g64	g64	g64	g64	g64	g64	g44	g48	g64	g50	g64	g66	g66	g66	g66	g64	g66	g66	g64	g64	g66	g66	g64	g64	g64	g64	g64	g64	g64	g64	g66	g64	g44	g68	g41	g36	g66	g64	g44	g48	g66	g64	g64	g66	g66	g64	g44	g43	g27	g66	g66	g64	g41	g66	g66	g66	g66	g64	g48	g48	g43	g64	g64	g64	g64	g44	g64	g48	g64	g64	g64	g64	g64	g64	g64	g44	g66	g44	g69	g66	g66	g66	g44	g16	g64
g8	g68	g66	g68	g64	g48	g48	g29	g69	g44	g66	g66	g68	g69	g69	g69	g66	g66	g64	g44	g44	g48	g68	g66	g44	g29	g36	g64	g68	g28	g66	g64	g64	g64	g66	g68	g68	g64	g69	g68	g29	g66	g44	g66	g66	g66	g64	g66	g66	g66	g66	g66	g66	g66	g8	g66	g66	g64	g48	g64	g66	g66	g66	g66	g66	g66	g66	g64	g64	g66	g64	g66	g69	g69	g69	g69	g66	g69	g69	g66	g66	g69	g69	g66	g66	g66	g66	g66	g66	g66	g66	g69	g66	g64	g69	g42	g41	g69	g66	g64	g64	g69	g66	g66	g69	g69	g66	g48	g44	g28	g69	g68	g66	g43	g68	g69	g69	g69	g66	g64	g64	g44	g66	g66	g66	g66	g48	g66	g64	g66	g66	g66	g66	g66	g66	g66	g64	g69	g64	g70	g69	g69	g69	g64	g17	g66
g9	g69	g68	g69	g66	g64	g64	g30	g70	g48	g68	g68	g69	g70	g70	g70	g68	g68	g65	g64	g48	g64	g69	g69	g48	g30	g41	g66	g69	g29	g68	g66	g66	g66	g68	g69	g69	g66	g70	g69	g30	g68	g48	g68	g68	g69	g66	g68	g68	g68	g68	g68	g68	g68	g11	g68	g68	g66	g64	g66	g68	g68	g68	g68	g68	g68	g68	g65	g66	g68	g66	g68	g70	g70	g70	g70	g69	g70	g70	g68	g69	g70	g70	g69	g69	g68	g68	g68	g69	g69	g68	g70	g68	g66	g70	g43	g64	g70	g69	g65	g66	g70	g69	g69	g70	g70	g68	g64	g48	g29	g70	g69	g68	g44	g69	g70	g70	g70	g68	g66	g66	g64	g68	g68	g68	g68	g64	g68	g66	g68	g68	g68	g68	g68	g68	g68	g65	g70	g66	g71	g70	g70	g70	g66	g20	g68
g10	g70	g69	g70	g69	g66	g66	g31	g71	g49	g69	g69	g70	g71	g71	g71	g69	g69	g66	g66	g64	g66	g70	g70	g64	g31	g43	g69	g70	g30	g69	g69	g69	g69	g69	g70	g70	g68	g71	g70	g31	g69	g64	g69	g69	g70	g68	g69	g69	g69	g69	g69	g69	g69	g12	g69	g69	g68	g66	g68	g69	g69	g69	g69	g69	g69	g69	g66	g68	g69	g69	g69	g71	g71	g71	g71	g70	g71	g71	g69	g70	g71	g71	g70	g70	g69	g69	g69	g70	g70	g69	g71	g69	g69	g71	g44	g65	g71	g70	g66	g69	g71	g70	g70	g71	g71	g69	g66	g64	g30	g71	g70	g69	g48	g70	g71	g71	g71	g69	g68	g68	g65	g69	g69	g69	g69	g66	g69	g68	g69	g69	g69	g69	g69	g69	g69	g66	g71	g69	g73	g71	g71	g71	g69	g21	g69
